,CompLex_complexity,WCL_complexity,SemEval2016_complexity,BEA2018_News_binaryComplexity,BEA2018_News_probabilisticComplexity,BEA2018_WikiNews_binaryComplexity,BEA2018_WikiNews_probabilisticComplexity,BEA2018_Wikipedia_binaryComplexity,BEA2018_Wikipedia_probabilisticComplexity,tokens
348,,(3+0j),,,,,,,,activation
349,,(1.5+0j),0j,,,,,0j,0j,active
350,,(2.5+0j),0j,,,0j,0j,,,actively
351,,(4+0j),,,,,,,,activism
352,,(2.8333+0j),0j,(0.5+0j),(0.025+0j),,,,,activist
353,,(2.5714+0j),0j,(1+0j),(0.25+0j),(1+0j),(0.15+0j),,,activists
354,,(2.2857+0j),0j,,,,,0j,0j,activities
355,,(2.4286+0j),0j,0j,0j,(0.5+0j),(0.05+0j),,,activity
356,,(1.8333+0j),0j,,,,,0j,0j,actor
357,,(2+0j),0j,,,,,0j,0j,actors
358,,(2.1667+0j),0j,,,(1+0j),(0.05+0j),(0.2+0j),(0.01+0j),actress
359,,,0j,,,,,,,actresses
360,,(1.4286+0j),(0.09090909090909091+0j),0j,0j,,,0j,0j,acts
361,,(1.7143+0j),0j,,,,,,,actual
362,(0.381578947368421+0j),,,,,,,,,actual contribution
363,,(2.1429+0j),0j,,,(1+0j),(0.06666666666666667+0j),,,actually
364,,,0j,,,,,,,acuity
365,,(4.4+0j),,,,,,,,acupuncture
366,,(3.6+0j),0j,,,,,,,acute
367,(0.3194444444444444+0j),,,,,,,,,acute susceptibility
368,,,0j,,,,,,,acutely
369,,(2.3333+0j),(0.25+0j),0j,0j,,,,,ad
370,,(1.8333+0j),,,,0j,0j,,,adam
371,,,,,,(1+0j),(0.9+0j),,,adamantly
372,,,,,,(1+0j),(0.05+0j),,,adamantly opposes
373,,(2+0j),,,,,,,,adams
374,,(2.8333+0j),0j,,,(1+0j),(0.35+0j),(1+0j),(0.1+0j),adapt
375,,(3.2857+0j),0j,,,(1+0j),(0.3+0j),,,adaptation
376,,,0j,,,(1+0j),(0.85+0j),,,adaptations
377,,(3+0j),(0.07692307692307693+0j),,,,,,,adapted
378,,(3.8+0j),,,,,,,,adapter
379,,(3.5714+0j),,,,,,,,adapters
380,,(3.2857+0j),0j,,,,,,,adaptive
381,,(3.4286+0j),,,,,,,,adaptor
382,,(3.6667+0j),,,,,,,,adaptors
383,,(1.2857+0j),0j,,,0j,0j,,,add
384,,(1.1667+0j),0j,0j,0j,0j,0j,,,added
385,,(2.4286+0j),,,,,,,,addicted
386,,(3+0j),,,,,,(1+0j),(0.4+0j),addiction
387,,(1.7143+0j),0j,0j,0j,0j,0j,,,adding
388,,(3.4286+0j),,,,,,,,addison
389,,(1.7143+0j),0j,0j,0j,0j,0j,(0.5+0j),(0.025+0j),addition
390,,(2.1667+0j),0j,(0.5+0j),(0.1+0j),,,(1+0j),(0.15+0j),additional
391,,,,,,,,(1+0j),(0.1+0j),additional venues
392,,(3.1667+0j),0j,,,(1+0j),(0.05+0j),,,additionally
393,,(1.8333+0j),(0.5+0j),,,,,,,additions
394,,(3+0j),(0.16666666666666666+0j),,,,,,,additive
395,,(2.2857+0j),0j,(0.5+0j),(0.025000000000000005+0j),0j,0j,(0.5+0j),(0.025+0j),address
396,,(3.2+0j),0j,(1+0j),(0.2+0j),,,,,addressed
397,,(2.2857+0j),0j,,,,,,,addresses
398,,(2.4286+0j),0j,,,,,,,addressing
399,,(1.3333+0j),0j,,,0j,0j,,,adds
400,,(3.5714+0j),,,,,,,,adelaide
401,,,0j,,,,,,,adept
402,,(3.5+0j),,,,,,,,adequacy
403,,(3.7143+0j),,,,,,,,adequate
404,,(3.5714+0j),,,,,,,,adequately
405,,(3.6667+0j),,,,,,,,adhere
406,,,0j,,,,,,,adhered
407,,(4.2+0j),,,,,,,,adherence
408,,,0j,,,,,,,adherents
409,,,(1+0j),,,,,,,adheres
410,,,(1+0j),,,,,,,adhering
411,,(3.3333+0j),,,,,,,,adhesive
412,,,0j,,,,,,,adiabatic
413,,(2.3333+0j),,,,,,,,adidas
414,,(4.6667+0j),,,,,,,,adipex
415,,,(1+0j),,,,,,,adipisicing
416,,,0j,,,,,,,adipose
417,,(3.3333+0j),0j,,,,,,,adjacent
418,,,0j,,,,,,,adjectival
419,,(3.2+0j),(1+0j),,,,,,,adjoining
420,,,0j,,,,,,,adjunct
421,,(2.5+0j),0j,,,,,,,adjust
422,,(2.8333+0j),0j,,,,,,,adjustable
423,,(2.8571+0j),,,,,,,,adjusted
424,,(2.7143+0j),,,,,,(1+0j),(0.05+0j),adjusting
425,,(2.7143+0j),0j,(1+0j),(0.05+0j),,,,,adjustment
426,,,,(1+0j),(0.05+0j),,,,,adjustment of bank balance sheets
427,,(3.1667+0j),,,,,,,,adjustments
428,,(4.2+0j),,,,,,,,adler
429,,(2.5714+0j),0j,,,,,0j,0j,admin
430,,(3.1429+0j),0j,,,,,,,administer
431,,(3.5+0j),0j,,,,,(1+0j),(0.55+0j),administered
432,,(4+0j),0j,,,,,,,administering
433,,,0j,,,,,,,administers
434,,,0j,,,,,,,administrated
435,,,0j,0j,0j,(1+0j),(0.18+0j),,,administration
436,,,0j,,,,,,,administrations
437,,(3.5714+0j),(0.1111111111111111+0j),,,(1+0j),(0.3333333333333333+0j),(1+0j),(0.25+0j),administrative
438,(0.4499999999999999+0j),,,,,,,,,administrative cooperation
439,,,,,,(1+0j),(0.15+0j),,,administrative detention
440,,,,,,(1+0j),(0.2+0j),,,administrative segregation
441,,,,,,(1+0j),(0.05+0j),,,administrative segregation unit
442,,,,,,,,(1+0j),(0.1+0j),administrative units
443,,,0j,,,,,,,administratively
444,,(2.8333+0j),0j,,,(1+0j),(0.05+0j),(1+0j),(0.13333333333333333+0j),administrator
445,,,,,,0j,0j,,,administrator charles bolden
446,,(3.5714+0j),0j,,,,,(1+0j),(0.125+0j),administrators
447,,,,,,,,(1+0j),(0.125+0j),admins
448,,,0j,,,,,,,admirable
449,,(3.2857+0j),,,,,,,,admiral
450,,(2.3333+0j),0j,,,,,,,admire
451,,(3.1667+0j),0j,,,,,,,admission
452,,(2.5+0j),,,,,,,,admissions
453,,,,(0.3333333333333333+0j),(0.016666666666666666+0j),,,,,admit
454,,(2.5+0j),0j,,,,,,,admits
455,,(2.7143+0j),0j,(1+0j),(0.1+0j),(1+0j),(0.3+0j),(1+0j),(0.1+0j),admitted
456,,,,0j,0j,,,,,admitted to hospital
457,,,,,,,,(1+0j),(0.05+0j),admitted to practice
458,,,0j,,,0j,0j,,,admitting
459,,,,,,(0.14285714285714285+0j),(0.0071428571428571435+0j),,,adnan
460,,(3.6667+0j),,,,,,,,adobe
461,,(3.6667+0j),,,,,,,,adolescent
462,,(3.1667+0j),0j,,,,,,,adolescents
463,,,,,,,,0j,0j,adolf
464,,(2.5+0j),0j,(1+0j),(0.05+0j),,,,,adopt
465,,(3.1667+0j),0j,(1+0j),(0.1+0j),,,,,adopted
466,,(3+0j),0j,,,,,,,adopting
467,,(3+0j),0j,,,,,(1+0j),(0.3+0j),adoption
468,,,0j,,,,,,,adored
469,,,(1+0j),,,,,,,adorned
470,(0.6323529411764706+0j),,,,,,,,,adrenal hypoplasia
471,,(2.5714+0j),,,,0j,0j,,,adrian
472,,(1.6667+0j),,,,0j,0j,,,ads
473,,,,0j,0j,,,,,adsense
474,,(5.4+0j),,,,,,,,adsl
475,,,,,,,,0j,0j,aduki
476,,(1.4286+0j),0j,,,,,,,adult
477,,,0j,,,,,,,adultery
478,,,0j,,,,,,,adulthood
479,,(1.5714+0j),0j,,,,,,,adults
480,,(3.4+0j),,,,,,,,adv
481,,(2.2857+0j),0j,,,(0.5+0j),(0.025+0j),,,advance
482,,,,,,0j,0j,,,advance one candidate over another
483,,(2.2857+0j),0j,,,0j,0j,0j,0j,advanced
484,,,,,,,,(1+0j),(0.1+0j),advanced audio coding
485,,(3+0j),0j,,,,,,,advancement
486,,(2.2857+0j),0j,,,,,,,advances
487,,(2.5714+0j),0j,(1+0j),(0.25+0j),,,,,advancing
488,,(2.3333+0j),0j,(1+0j),(0.15+0j),,,,,advantage
489,,(2.5714+0j),0j,,,,,,,advantages
490,,(3.8571+0j),0j,,,,,,,advent
491,,(2.1429+0j),0j,,,,,,,adventure
492,,(2.4286+0j),0j,,,,,,,adventures
493,,,0j,,,,,,,adventurous
494,,,0j,,,,,,,adversaries
495,,,,,,(1+0j),(0.7+0j),,,adversary
496,,(3.7143+0j),0j,,,,,,,adverse
497,(0.3888888888888888+0j),,,,,,,,,adverse impacts
498,,(3+0j),,,,,,,,adversely
499,,(3.1667+0j),,,,,,,,advert
500,,(2.8571+0j),0j,,,,,,,advertise
501,,(2.8571+0j),(0.25+0j),,,,,,,advertised
502,,(3.1667+0j),0j,,,,,(1+0j),(0.15+0j),advertisement
503,,(2.8333+0j),,,,,,(1+0j),(0.1+0j),advertisements
504,,(3.3333+0j),,,,,,,,advertiser
505,,(3.1667+0j),0j,,,,,,,advertisers
506,,(2.7143+0j),0j,(0.6666666666666666+0j),(0.05000000000000001+0j),,,(1+0j),(0.15+0j),advertising
507,,,,,,,,(1+0j),(0.05+0j),advertising poster
508,,(3.2+0j),,,,,,,,adverts
509,,(2.4286+0j),0j,,,,,,,advice
510,,(2.4+0j),0j,(1+0j),(0.05+0j),,,,,advise
511,,(2.8+0j),(0.5+0j),,,,,,,advised
512,,(2.5714+0j),,,,,,,,adviser
513,,(2.4286+0j),,0j,0j,,,,,advisers
514,,(3.2+0j),0j,,,,,,,advising
515,,(2.6667+0j),0j,,,,,,,advisor
516,,(3.2857+0j),0j,,,,,,,advisories
517,,(3.1429+0j),0j,,,,,,,advisors
518,,(3.5714+0j),0j,,,,,,,advisory
519,,(4.1667+0j),0j,,,,,,,advocacy
520,,(3.2857+0j),0j,,,,,,,advocate
521,,,0j,,,(1+0j),(0.75+0j),,,advocated
522,,(3.5+0j),0j,,,,,,,advocates
523,,,(1+0j),,,,,,,advocating
524,,,,0j,0j,,,,,adwords
525,,,,,,,,0j,0j,adzuki
526,,,,,,,,(0.75+0j),(0.0875+0j),aemilian
